key,en,ar,notes
general.ascending,Ascending,تصاعدي,
general.close,Close,إغلاق,
general.countOfTotalSelected,{{count}} of {{total}} selected,{{count}} من {{total}} محدد,
general.countSelected,{{count}} selected,{{count}} محدد,
general.descending,Descending,تنازلي,
general.details,Details,تفاصيل,
general.disabled,Disabled,معطل,
general.enabled,Enabled,ممكّن,
general.end,End,نهاية,
general.error,Error,خطأ,
general.excludesTaxTooltip,Prices in this column are tax exclusive.,الأسعار في هذا العمود لا تشمل الضرائب.,
general.expired,Expired,منتهي الصلاحية,
general.fullList,All,,
general.includesTaxTooltip,Prices in this column are tax inclusive.,الأسعار في هذا العمود تشمل الضرائب.,
general.is,is,هو,
general.items_one,{{count}} item,{{count}} عنصر,
general.items_other,{{count}} items,{{count}} عناصر,
general.modified,Modified,معدل,
general.new,New,جديد,
general.next,Next,التالي,
general.noMoreData,No more data,لا توجد بيانات أخرى,
general.noRecordsFound,No records found,لم يتم العثور على سجلات,
general.noRecordsMessage,There are no records to show,لا توجد سجلات لعرضها,
general.noRecordsMessageFiltered,There are no records to show matching the filters,,
general.noRecordsTitle,No records,لا توجد سجلات,
general.noResultsMessage,Try changing the filters or search query,حاول تغيير الفلاتر أو استعلام البحث,
general.noResultsTitle,No results,لا توجد نتائج,
general.noSearchResults,No search results,لا توجد نتائج بحث,
general.noSearchResultsFor,No search results for <0>'{{query}}'</0>,لا توجد نتائج بحث لـ <0>'{{query}}'</0>,
general.of,of,من,
general.open,Open,فتح,
general.original,Original,,
general.pages,pages,صفحات,
general.plusCount,+ {{count}},+ {{count}},
general.plusCountMore,+ {{count}} more,+ {{count}} أكثر,
general.prev,Prev,السابق,
general.range,Range,نطاق,
general.remaining,Left,,
general.removed,Removed,محذوف,
general.results,results,نتائج,
general.revoked,Revoked,ملغى,
general.search,Search,بحث,
general.select,Select,اختر,
general.selectAll,Select all,,
general.selected,Selected,محدد,
general.start,Start,ابدأ,
general.store,Store,متجر,
general.success,Success,نجاح,
general.timeline,Timeline,الجدول الزمني,
general.tip,Tip,نصيحة,
general.typeToConfirm,Please type {val} to confirm:,يرجى كتابة {val} للتأكيد:,
general.unsavedChangesDescription,You have unsaved changes that will be lost if you exit this form.,لديك تغييرات غير محفوظة ستفقد إذا خرجت من هذا النموذج.,
general.unsavedChangesTitle,Are you sure you want to leave this form?,هل أنت متأكد أنك تريد مغادرة هذا النموذج؟,
general.unselectAll,Unselect all,,
general.warning,Warning,تحذير,
giftCards.balance,Balance,الرصيد,
giftCards.balanceHigherThanValue,The balance cannot be higher than the original amount.,لا يمكن أن يكون الرصيد أعلى من المبلغ الأصلي.,
giftCards.balanceLowerThanZero,The balance cannot be negative.,لا يمكن أن يكون الرصيد سالبًا.,
giftCards.createGiftCard,Create Gift Card,إنشاء بطاقة هدايا,
giftCards.createGiftCardHint,Manually create a gift card that can be used as a payment method in your store.,إنشاء بطاقة هدايا يدويًا يمكن استخدامها كوسيلة دفع في متجرك.,
giftCards.currentBalance,Current balance,الرصيد الحالي,
giftCards.deleteGiftCardWarning,You are about to delete the gift card {{code}}. This action cannot be undone.,أنت على وشك حذف بطاقة الهدايا {{code}}. لا يمكن التراجع عن هذا الإجراء.,
giftCards.domain,Gift Cards,بطاقات الهدايا,
giftCards.editGiftCard,Edit Gift Card,تحرير بطاقة الهدايا,
giftCards.enabledHint,Specify if the gift card is enabled or disabled.,حدد ما إذا كانت بطاقة الهدايا مفعلة أو معطلة.,
giftCards.expiryDateHint,Countries have different laws regarding gift card expiry dates. Make sure to check local regulations before setting an expiry date.,تختلف القوانين المتعلقة بتواريخ انتهاء صلاحية بطاقات الهدايا من بلد لآخر. تأكد من مراجعة اللوائح المحلية قبل تحديد تاريخ انتهاء الصلاحية.,
giftCards.initialBalance,Initial balance,الرصيد الأولي,
giftCards.personalMessage,Personal message,رسالة شخصية,
giftCards.recipient,Recipient,المستلم,
giftCards.regionHint,"Changing the region of the gift card will also change its currency, potentially affecting its monetary value.",سيؤدي تغيير منطقة بطاقة الهدايا أيضًا إلى تغيير عملتها، مما قد يؤثر على قيمتها النقدية.,
giftCards.selectRegionFirst,Select a region first,اختر منطقة أولاً,
inventory.adjustInventory.errors.stockedQuantity,Stocked quantity cannot be updated to less than the reserved quantity of {{quantity}}.,لا يمكن تحديث الكمية المخزنة إلى أقل من الكمية المحجوزة البالغة {{quantity}}.,
inventory.associatedVariants,Associated variants,البدائل المرتبطة,
inventory.available,Available,متاح,
inventory.create.attributes,Attributes,السمات,
inventory.create.availability,Availability,التوافر,
inventory.create.details,Details,التفاصيل,
inventory.create.locations,Locations,المواقع,
inventory.create.requiresShipping,Requires shipping,يتطلب الشحن,
inventory.create.requiresShippingHint,Does the inventory item require shipping?,هل يتطلب عنصر المخزون الشحن؟,
inventory.create.successToast,Inventory item was successfully created.,تم إنشاء عنصر المخزون بنجاح.,
inventory.create.title,Create Inventory Item,إنشاء عنصر مخزون,
inventory.deleteWarning,You are about to delete an inventory item. This action cannot be undone.,أنت على وشك حذف عنصر المخزون. لا يمكن التراجع عن هذا الإجراء.,
inventory.domain,Inventory,المخزون,
inventory.editItemDetails,Edit item details,تحرير تفاصيل العنصر,
inventory.levelDeleted,Inventory level deleted successfully.,,
inventory.locationLevels,Locations,المواقع,
inventory.manageLocationQuantity,Manage location quantity,,
inventory.manageLocations,Manage locations,إدارة المواقع,
inventory.quantityAcrossLocations,{{quantity}} across {{locations}} locations,,
inventory.reservation.availableAtLocation,Available at this location,متاح في هذا الموقع,
inventory.reservation.create,Create reservation,إنشاء حجز,
inventory.reservation.deleteSuccessToast,Reservation was successfully deleted.,تم حذف الحجز بنجاح.,
inventory.reservation.description,Description,الوصف,
inventory.reservation.descriptionPlaceholder,What type of reservation is this?,ما نوع هذا الحجز؟,
inventory.reservation.editItemDetails,Edit reservation,تحرير الحجز,
inventory.reservation.errors.noAvaliableQuantity,Stock location doesn't have available quantity.,الموقع المخزني لا يحتوي على كمية متاحة.,
inventory.reservation.errors.quantityOutOfRange,Minimum quantity is 1 and maximum quantity is {{max}},الكمية الدنيا هي 1 والكمية القصوى هي {{max}},
inventory.reservation.header,Reservation of {{itemName}},حجز {{itemName}},
inventory.reservation.inStockAtLocation,In stock at this location,متوفر في هذا الموقع,
inventory.reservation.itemToReserve,Item to reserve,العنصر للحجز,
inventory.reservation.lineItemId,Line item ID,معرف العنصر,
inventory.reservation.location,Location,الموقع,
inventory.reservation.orderID,Order ID,معرف الطلب,
inventory.reservation.quantityPlaceholder,How much do you want to reserve?,كم تريد الحجز؟,
inventory.reservation.reservedAmount,Reserve amount,كمية الحجز,
inventory.reservation.reservedAtLocation,Reserved at this location,محجوز في هذا الموقع,
inventory.reservation.successToast,Reservation was successfully created.,تم إنشاء الحجز بنجاح.,
inventory.reservation.updateSuccessToast,Reservation was successfully updated.,تم تحديث الحجز بنجاح.,
inventory.reserved,Reserved,محجوز,
inventory.stock.action,Edit stock levels,إضافة عناصر المخزون إلى مجموعة المخزون الخاصة بالبديل,
inventory.stock.description,Update the stocked inventory levels for the selected inventory items.,إضافة عناصر المخزون إلى مجموعة المخزون الخاصة بالبديل.,
inventory.stock.disablePrompt_one,You are about to disable {{count}} location level. This action cannot be undone.,أنت على وشك إضافة {{count}} عنصر مخزون إلى مجموعة المخزون الخاصة بالبديل. لا يمكن التراجع عن هذا الإجراء.,
inventory.stock.disablePrompt_other,You are about to disable {{count}} location levels. This action cannot be undone.,أنت على وشك إضافة {{count}} عناصر مخزون إلى مجموعة المخزون الخاصة بالبديل. لا يمكن التراجع عن هذا الإجراء.,
inventory.stock.disabledToggleTooltip,Cannot disable: clear incoming and/or reserved quantity before disabling.,يجب أن يكون البديل مدار بالفعل لإضافة عناصر المخزون إلى مجموعة المخزون الخاصة بالبديل.,
inventory.stock.placeholder,Not enabled,اختر عنصر المخزون,
inventory.stock.successToast,Inventory levels updated successfully.,تم إضافة عناصر المخزون إلى مجموعة المخزون الخاصة بالبديل بنجاح.,
inventory.stock.title,Update inventory levels,مجموعات المخزون,
inventory.subtitle,Manage your inventory items,إدارة عناصر المخزون الخاصة بك,
inventory.toast.updateItem,Inventory item updated successfully.,تم تحديث عنصر المخزون بنجاح.,
inventory.toast.updateLevel,Inventory level updated successfully.,تم تحديث مستوى المخزون بنجاح.,
inventory.toast.updateLocations,Locations updated successfully.,تم تحديث المواقع بنجاح.,
invite.alreadyHaveAccount,Already have an account? - <0>Log in</0>,هل لديك حساب بالفعل؟ - <0>تسجيل الدخول</0>,
invite.backToLogin,Back to login,العودة إلى تسجيل الدخول,
invite.createAccount,Create account,إنشاء حساب,
invite.emailTooltip,"Your email cannot be changed. If you would like to use another email, a new invite must be sent.",لا يمكن تغيير بريدك الإلكتروني. إذا كنت ترغب في استخدام بريد إلكتروني آخر، يجب إرسال دعوة جديدة.,
invite.hint,Create your account below,أنشئ حسابك أدناه,
invite.invalidInvite,The invite is invalid or has expired.,الدعوة غير صالحة أو انتهت صلاحيتها.,
invite.invalidTokenHint,Try requesting a new invite link.,حاول طلب رابط دعوة جديد.,
invite.invalidTokenTitle,Your invite token is invalid,رمز الدعوة غير صالح,
invite.passwordMismatch,Passwords do not match,كلمات المرور غير متطابقة,
invite.successAction,Start Medusa Admin,ابدأ مدوسا,
invite.successHint,Get started with Medusa Admin right away.,ابدأ باستخدام مدوسا الآن.,
invite.successTitle,Your account has been registered,تم تسجيل حسابك بنجاح,
invite.title,Welcome to Medusa,مرحبًا بك في مدوسا,
invite.toast.accepted,Invite successfully accepted,تم قبول الدعوة بنجاح,
json.drawer.description,View the JSON data for this object.,عرض بيانات JSON لهذا الكائن.,
json.drawer.header_one,JSON <0>· {{count}} key</0>,JSON <0>· {{count}} مفتاح</0>,
json.drawer.header_other,JSON <0>· {{count}} keys</0>,JSON <0>· {{count}} مفاتيح</0>,
json.header,JSON,JSON,
json.numberOfKeys_one,{{count}} key,{{count}} مفتاح,
json.numberOfKeys_other,{{count}} keys,{{count}} مفاتيح,
labels.added,Added,مضاف,
labels.available,Available,متاح,
labels.beaware,Be aware,كن واعي,
labels.from,From,من,
labels.inStock,In stock,في المخزون,
labels.loading,Loading,جاري التحميل...,
labels.prices,Prices,الأسعار,
labels.productVariant,Product Variant,متغير المنتج,
labels.removed,Removed,محذوف,
labels.selectValue,Select Value,,
labels.selectValues,Select Values,,
labels.to,To,إلى,
locations.addSalesChannels,Add sales channels,إضافة قنوات البيع,
locations.deleteLocationWarning,You are about to delete the location {{name}}. This action cannot be undone.,أنت على وشك حذف الموقع {{name}}. لا يمكن التراجع عن هذا الإجراء.,
locations.domain,Locations,المواقع,
locations.editLocation,Edit location,تحرير الموقع,
locations.noLocationsFound,No locations found,لم يتم العثور على مواقع,
locations.removeSalesChannelsWarning_one,You are about to remove {{count}} sales channel from the location.,أنت على وشك إزالة {{count}} قناة بيع من الموقع.,
locations.removeSalesChannelsWarning_other,You are about to remove {{count}} sales channels from the location.,أنت على وشك إزالة {{count}} قنوات بيع من الموقع.,
locations.selectLocations,Select locations that stock the item.,اختر المواقع التي تخزن العنصر.,
locations.toast.create,Location created successfully,تم إنشاء الموقع بنجاح,
locations.toast.removeChannel,Sales channel removed successfully,تمت إزالة قناة البيع بنجاح,
locations.toast.update,Location updated successfully,تم تحديث الموقع بنجاح,
login.forgotPassword,Forgot password? - <0>Reset</0>,نسيت كلمة المرور؟ - <0>إعادة تعيين</0>,
login.hint,Sign in to access the account area,سجل الدخول للوصول إلى منطقة الحساب,
login.title,Welcome to Medusa,مرحبًا بك في مدوسا,
metadata.edit.actions.deleteRow,Delete row,حذف الصف,
metadata.edit.actions.insertRowAbove,Insert row above,إدراج صف أعلاه,
metadata.edit.actions.insertRowBelow,Insert row below,إدراج صف أدناه,
metadata.edit.complexRow.description,"This object contains non-primitive metadata, such as arrays or objects, that can't be edited here. To edit the disabled rows, use the API directly.",يحتوي هذا الكائن على بيانات وصفية غير بدائية، مثل المصفوفات أو الكائنات، التي لا يمكن تحريرها هنا. لتحرير الصفوف المعطلة، استخدم API مباشرة.,
metadata.edit.complexRow.label,Some rows are disabled,بعض الصفوف معطلة,
metadata.edit.complexRow.tooltip,This row is disabled because it contains non-primitive data.,تم تعطيل هذا الصف لأنه يحتوي على بيانات غير بدائية.,
metadata.edit.description,Edit the metadata for this object.,تحرير البيانات الوصفية لهذا الكائن.,
metadata.edit.header,Edit Metadata,تحرير البيانات الوصفية,
metadata.edit.labels.key,Key,مفتاح,
metadata.edit.labels.value,Value,قيمة,
metadata.edit.successToast,Metadata was successfully updated.,تم تحديث البيانات الوصفية بنجاح.,
metadata.header,Metadata,البيانات الوصفية,
metadata.numberOfKeys_one,{{count}} key,{{count}} مفتاح,
metadata.numberOfKeys_other,{{count}} keys,{{count}} مفاتيح,
notifications.accessibility.description,Notifications about Medusa activities will be listed here.,سيتم سرد الإشعارات حول أنشطة مدوسا هنا.,
notifications.domain,Notifications,الإشعارات,
notifications.emptyState.description,"You don't have any notifications at the moment, but once you do they will live here.",ليس لديك أي إشعارات في الوقت الحالي، ولكن بمجرد أن تحصل عليها ستظهر هنا.,
notifications.emptyState.title,No notifications,لا توجد إشعارات,
operators.in,In,في,
orders.activity.comment.addButtonText,Add comment,إضافة تعليق,
orders.activity.comment.deleteButtonText,Delete comment,حذف التعليق,
orders.activity.comment.label,Comment,تعليق,
orders.activity.comment.placeholder,Leave a comment,اترك تعليقًا,
orders.activity.events.canceled.title,Order canceled,تم إلغاء الطلب,
orders.activity.events.claim.canceled,Claim #{{claimId}} canceled,تم إلغاء المطالبة #{{claimId}},
orders.activity.events.claim.created,Claim #{{claimId}} requested,تم طلب المطالبة #{{claimId}},
orders.activity.events.claim.itemsInbound,{{count}} item to return,{{count}} عنصر للإرجاع,
orders.activity.events.claim.itemsOutbound,{{count}} item to send,{{count}} عنصر للإرسال,
orders.activity.events.common.toReturn,To return,للإرجاع,
orders.activity.events.common.toSend,To send,للإرسال,
orders.activity.events.edit.confirmed,Order edit #{{editId}} confirmed,تم تأكيد تحرير الطلب #{{editId}},
orders.activity.events.edit.requested,Order edit #{{editId}} requested,تم طلب تحرير الطلب #{{editId}},
orders.activity.events.exchange.canceled,Exchange #{{exchangeId}} canceled,تم إلغاء التبادل #{{exchangeId}},
orders.activity.events.exchange.created,Exchange #{{exchangeId}} requested,تم طلب التبادل #{{exchangeId}},
orders.activity.events.exchange.itemsInbound,{{count}} item to return,{{count}} عنصر للإرجاع,
orders.activity.events.exchange.itemsOutbound,{{count}} item to send,{{count}} عنصر للإرسال,
orders.activity.events.fulfillment.canceled,Fulfillment canceled,تم إلغاء التنفيذ,
orders.activity.events.fulfillment.created,Items fulfilled,تم تنفيذ العناصر,
orders.activity.events.fulfillment.delivered,Items delivered,تم تسليم العناصر,
orders.activity.events.fulfillment.items_one,{{count}} item,{{count}} عنصر,
orders.activity.events.fulfillment.items_other,{{count}} items,{{count}} عناصر,
orders.activity.events.fulfillment.shipped,Items shipped,تم شحن العناصر,
orders.activity.events.note.byLine,by {{author}},بواسطة {{author}},
orders.activity.events.note.comment,Comment,تعليق,
orders.activity.events.payment.awaiting,Awaiting payment,في انتظار الدفع,
orders.activity.events.payment.canceled,Payment canceled,تم إلغاء الدفع,
orders.activity.events.payment.captured,Payment captured,تم استلام الدفع,
orders.activity.events.payment.refunded,Payment refunded,تم استرداد الدفع,
orders.activity.events.placed.fromSalesChannel,from {{salesChannel}},من {{salesChannel}},
orders.activity.events.placed.title,Order placed,تم تقديم الطلب,
orders.activity.events.return.canceled,Return #{{returnId}} canceled,تم إلغاء الإرجاع #{{returnId}},
orders.activity.events.return.created,Return #{{returnId}} requested,تم طلب الإرجاع #{{returnId}},
orders.activity.events.return.items_one,{{count}} item returned,{{count}} عنصر مُرجع,
orders.activity.events.return.items_other,{{count}} items returned,{{count}} عناصر مُرجعة,
orders.activity.events.return.received,Return #{{returnId}} received,تم استلام الإرجاع #{{returnId}},
orders.activity.events.transfer.confirmed,Order transfer #{{transferId}} confirmed,تم تأكيد نقل الطلب #{{transferId}},
orders.activity.events.transfer.declined,Order transfer #{{transferId}} declined,تم رفض نقل الطلب #{{transferId}},
orders.activity.events.transfer.requested,Order transfer #{{transferId}} requested,تم طلب نقل الطلب #{{transferId}},
orders.activity.events.update_order.billing_address,Billing address updated,تم تحديث عنوان الفواتير,
orders.activity.events.update_order.email,Email updated,تم تحديث البريد الإلكتروني,
orders.activity.events.update_order.shipping_address,Shipping address updated,تم تحديث عنوان الشحن,
orders.activity.from,From,من,
orders.activity.header,Activity,النشاط,
orders.activity.showMoreActivities_one,Show {{count}} more activity,عرض {{count}} نشاط آخر,
orders.activity.showMoreActivities_other,Show {{count}} more activities,عرض {{count}} أنشطة أخرى,
orders.activity.to,To,إلى,
orders.allocateItems.action,Allocate items,تخصيص العناصر,
orders.allocateItems.consistsOf,Consists of {{num}}x inventory items,يتكون من {{num}}x عناصر المخزون,
orders.allocateItems.error.quantityNotAllocated,There are unallocated items.,هناك عناصر غير مخصصة.,
orders.allocateItems.itemsToAllocate,Items to allocate,العناصر للتخصيص,
orders.allocateItems.itemsToAllocateDesc,Select the number of items you wish to allocate,اختر عدد العناصر التي ترغب في تخصيصها,
orders.allocateItems.locationDescription,Choose which location you want to allocate from.,اختر الموقع الذي تريد التخصيص منه.,
orders.allocateItems.requires,Requires {{num}} per variant,يتطلب {{num}} لكل بديل,
orders.allocateItems.search,Search items,بحث عن العناصر,
orders.allocateItems.title,Allocate order items,تخصيص عناصر الطلب,
orders.allocateItems.toast.created,Items successfully allocated,تم تخصيص العناصر بنجاح,
orders.allocateItems.toast.error,Failed to allocate following items: {{items}},,
orders.balanceSettlement.settlementType,Settlement type,,
orders.balanceSettlement.settlementTypes.creditLine,Store credit,,
orders.balanceSettlement.settlementTypes.creditLineDescription,Refund amount as store credit,,
orders.balanceSettlement.settlementTypes.paymentMethod,Payment method,,
orders.balanceSettlement.settlementTypes.paymentMethodDescription,Refund amount to the payment method,,
orders.balanceSettlement.title,Balance settlement,,
orders.cancelWarning,You are about to cancel the order {{id}}. This action cannot be undone.,أنت على وشك إلغاء الطلب {{id}}. لا يمكن التراجع عن هذا الإجراء.,
orders.claim,Claim,مطالبة,
orders.claims.actions.cancelClaim.successToast,Claim was successfully canceled.,تم إلغاء المطالبة بنجاح.,
orders.claims.activeChangeError,There is an active order change on this order. Please finish or discard the previous change.,هناك تغيير نشط في الطلب على هذا الطلب. يرجى إنهاء أو إلغاء التغيير السابق.,
orders.claims.cancel.description,Are you sure you want to cancel the claim?,هل أنت متأكد أنك تريد إلغاء المطالبة؟,
orders.claims.cancel.title,Cancel Claim,إلغاء المطالبة,
orders.claims.confirm,Confirm Claim,تأكيد المطالبة,
orders.claims.confirmText,You are about to confirm a Claim. This action cannot be undone.,أنت على وشك تأكيد المطالبة. لا يمكن التراجع عن هذا الإجراء.,
orders.claims.create,Create Claim,إنشاء مطالبة,
orders.claims.manage,Manage Claim,إدارة المطالبة,
orders.claims.outbound,Outbound,صادر,
orders.claims.outboundItemAdded,{{itemsCount}}x added through claim,تمت إضافة {{itemsCount}}x من خلال المطالبة,
orders.claims.outboundShipping,Outbound shipping,شحن الصادر,
orders.claims.outboundShippingHint,Choose which method you want to use.,اختر الطريقة التي تريد استخدامها.,
orders.claims.outboundTotal,Outbound total,إجمالي الصادر,
orders.claims.panel.description,There is an open claim request to be completed,هناك طلب مطالبة مفتوح ليتم إكماله,
orders.claims.panel.title,Claim initiated,تم بدء المطالبة,
orders.claims.refundAmount,Estimated difference,الفرق المقدر,
orders.claims.toast.canceledSuccessfully,Claim canceled successfully,تم إلغاء المطالبة بنجاح,
orders.claims.toast.confirmedSuccessfully,Claim confirmed successfully,تم تأكيد المطالبة بنجاح,
orders.claims.tooltips.onlyReturnShippingOptions,This list will consist of only return shipping options.,ستتكون هذه القائمة فقط من خيارات شحن الإرجاع.,
orders.creditLines.createCreditLine,Create credit line,,
orders.creditLines.createCreditLineDescription,Create a credit line for amount {{amount}},,
orders.creditLines.createCreditLineError,Error creating credit line,,
orders.creditLines.createCreditLineSuccess,Credit line created successfully,,
orders.creditLines.credit,Credit,,
orders.creditLines.creditDescription,Adds a positive sum to the order,,
orders.creditLines.creditOrDebit,Credit / Debit,,
orders.creditLines.debit,Debit,,
orders.creditLines.debitDescription,Subtracts a negative sum from the order,,
orders.creditLines.operation,Operation,,
orders.creditLines.title,Credit lines,,
orders.creditLines.total,Sum of all credit lines,,
orders.customer.contactLabel,Contact,الاتصال,
orders.customer.editBillingAddress,Edit billing address,تحرير عنوان الفواتير,
orders.customer.editEmail,Edit email,تحرير البريد الإلكتروني,
orders.customer.editShippingAddress,Edit shipping address,تحرير عنوان الشحن,
orders.customer.transferOwnership,Transfer ownership,نقل الملكية,
orders.domain,Orders,الطلبات,
orders.edit.billingAddress.requestSuccess,Order billing address updated.,تم تحديث عنوان الفواتير للطلب.,
orders.edit.billingAddress.title,Edit billing address,تحرير عنوان الفواتير,
orders.edit.email.requestSuccess,Order email updated to {{email}}.,تم تحديث البريد الإلكتروني للطلب إلى {{email}}.,
orders.edit.email.title,Edit email,تحرير البريد الإلكتروني,
orders.edit.shippingAddress.requestSuccess,Order shipping address updated.,تم تحديث عنوان الشحن للطلب.,
orders.edit.shippingAddress.title,Edit shipping address,تحرير عنوان الشحن,
orders.edits.activeChangeError,"There is already active order change on the order (return, claim, exchange etc.). Please finish or cancel the change before editing the order.",هناك تغيير نشط بالفعل على الطلب (إرجاع، مطالبة، تبادل، إلخ). يرجى إنهاء أو إلغاء التغيير قبل تحرير الطلب.,
orders.edits.addItems,Add items,إضافة عناصر,
orders.edits.addItemsDescription,You can add new items to the order.,يمكنك إضافة عناصر جديدة إلى الطلب.,
orders.edits.amountPaid,Amount paid,المبلغ المدفوع,
orders.edits.cancel,Cancel Edit,إلغاء التحرير,
orders.edits.cancelSuccessToast,Order edit canceled,تم إلغاء تحرير الطلب,
orders.edits.confirm,Confirm Edit,تأكيد التحرير,
orders.edits.confirmText,You are about to confirm an Order Edit. This action cannot be undone.,أنت على وشك تأكيد تحرير الطلب. لا يمكن التراجع عن هذا الإجراء.,
orders.edits.create,Edit Order,تحرير الطلب,
orders.edits.createSuccessToast,Order edit request created,تم إنشاء طلب تحرير الطلب,
orders.edits.currentItems,Current items,العناصر الحالية,
orders.edits.currentItemsDescription,Adjust item quantity or remove.,تعديل كمية العنصر أو إزالته.,
orders.edits.currentTotal,Current total,الإجمالي الحالي,
orders.edits.differenceDue,Difference due,الفرق المستحق,
orders.edits.newTotal,New total,الإجمالي الجديد,
orders.edits.noteHint,Add an internal note for the edit,أضف ملاحظة داخلية للتحرير,
orders.edits.panel.title,Order edit requested,تم طلب تحرير الطلب,
orders.edits.panel.titlePending,Order edit pending,تحرير الطلب قيد الانتظار,
orders.edits.title,Edit order,تحرير الطلب,
orders.edits.toast.canceledSuccessfully,Order edit cancelled,تم إلغاء تحرير الطلب,
orders.edits.toast.confirmedSuccessfully,Order edit confirmed,تم تأكيد تحرير الطلب,
orders.edits.validation.quantityLowerThanFulfillment,Cannot set quantity to be less then or equal to fulfilled quantity,لا يمكن تعيين الكمية لتكون أقل من أو تساوي الكمية الملباة,
orders.exchange,Exchange,تبادل,
orders.exchanges.actions.cancelExchange.successToast,Exchange was successfully canceled.,تم إلغاء التبادل بنجاح.,
orders.exchanges.activeChangeError,There is an active order change on this order. Please finish or discard the previous change.,هناك تغيير نشط في الطلب على هذا الطلب. يرجى إنهاء أو إلغاء التغيير السابق.,
orders.exchanges.cancel.description,Are you sure you want to cancel the exchange?,هل أنت متأكد أنك تريد إلغاء التبادل؟,
orders.exchanges.cancel.title,Cancel Exchange,إلغاء التبادل,
orders.exchanges.carryOverPromotion,Carry over promotions,,
orders.exchanges.carryOverPromotionHint,Apply the order's promotions to the exchange items,,
orders.exchanges.carryOverPromotionTooltip,Only fixed type promotions with EACH allocation and percentage type promotions with EACH or ACROSS allocation can be carried over to outbound exchange items.,,
orders.exchanges.confirm,Confirm Exchange,تأكيد التبادل,
orders.exchanges.confirmText,You are about to confirm an Exchange. This action cannot be undone.,أنت على وشك تأكيد التبادل. لا يمكن التراجع عن هذا الإجراء.,
orders.exchanges.create,Create Exchange,إنشاء تبادل,
orders.exchanges.manage,Manage Exchange,إدارة التبادل,
orders.exchanges.outbound,Outbound,صادر,
orders.exchanges.outboundItemAdded,{{itemsCount}}x added through exchange,{{itemsCount}}x تمت إضافتها من خلال التبادل,
orders.exchanges.outboundShipping,Outbound shipping,شحن الصادر,
orders.exchanges.outboundShippingHint,Choose which method you want to use.,اختر الطريقة التي تريد استخدامها.,
orders.exchanges.outboundTotal,Outbound total,إجمالي الصادر,
orders.exchanges.panel.description,There is an open exchange request to be completed,هناك طلب تبادل مفتوح ليتم إكماله,
orders.exchanges.panel.title,Exchange initiated,تم بدء التبادل,
orders.exchanges.refundAmount,Estimated difference,الفرق المقدر,
orders.exchanges.toast.canceledSuccessfully,Exchange canceled successfully,تم إلغاء التبادل بنجاح,
orders.exchanges.toast.confirmedSuccessfully,Exchange confirmed successfully,تم تأكيد التبادل بنجاح,
orders.exchanges.tooltips.onlyReturnShippingOptions,This list will consist of only return shipping options.,ستتكون هذه القائمة فقط من خيارات شحن الإرجاع.,
orders.export.description,Export the order list to a CSV file.,,
orders.export.filters.description,The following filters will be applied to the export.,,
orders.export.filters.title,Filters,,
orders.export.header,Export Order List,,
orders.export.success.description,You will be notified when the export is ready.,,
orders.export.success.title,Export started,,
orders.fields.displayId,Display ID,معرف العرض,
orders.fields.refundableAmount,Refundable amount,المبلغ القابل للاسترداد,
orders.fields.returnableQuantity,Returnable quantity,الكمية القابلة للإرجاع,
orders.fulfillment.available,Available,متاح,
orders.fulfillment.awaitingFulfillmentBadge,Awaiting fulfillment,في انتظار التنفيذ,
orders.fulfillment.cancelWarning,You are about to cancel a fulfillment. This action cannot be undone.,أنت على وشك إلغاء التنفيذ. لا يمكن التراجع عن هذا الإجراء.,
orders.fulfillment.create,Create Fulfillment,إنشاء تنفيذ,
orders.fulfillment.differentOptionSelected,The selected shipping option is different from the one selected by the customer.,تم اختيار خيار شحن مختلف عن الذي اختاره العميل.,
orders.fulfillment.disabledItemTooltip,The shipping option you have selected don’t allow fulfillment of this item,يجب أن يكون البديل مدار بالفعل لإضافة عناصر المخزون إلى مجموعة المخزون الخاصة بالبديل.,
orders.fulfillment.error.noItems,No items to fulfill.,لا توجد عناصر لتنفيذها.,
orders.fulfillment.error.noLocation,Location is required,يجب أن يكون الموقع موجود.,
orders.fulfillment.error.noShippingOption,Shipping option is required,يجب أن يكون خيار الشحن موجود.,
orders.fulfillment.error.wrongQuantity,Only one item is available for fulfillment,يتوفر عنصر واحد فقط للتنفيذ,
orders.fulfillment.error.wrongQuantity_other,Quantity should be a number between 1 and {{number}},يجب أن تكون الكمية رقمًا بين 1 و {{number}},
orders.fulfillment.fulfillItems,Fulfill items,تنفيذ العناصر,
orders.fulfillment.inStock,In stock,في المخزون,
orders.fulfillment.itemsLabel,Items,Items,
orders.fulfillment.itemsToFulfill,Items to fulfill,العناصر لتنفيذها,
orders.fulfillment.itemsToFulfillDesc,Choose items and quantities to fulfill,اختر العناصر والكميات لتنفيذها,
orders.fulfillment.locationDescription,Choose which location you want to fulfill items from.,اختر الموقع الذي تريد تنفيذ العناصر منه.,
orders.fulfillment.markAsDelivered,Mark as delivered,تحديد كمُسلم,
orders.fulfillment.markAsDeliveredWarning,You are about to mark fulfillment as delivered. This action cannot be undone.,أنت على وشك تحديد التنفيذ كمُسلم. لا يمكن التراجع عن هذا الإجراء.,
orders.fulfillment.markAsPickedUp,Mark as picked up,,
orders.fulfillment.markAsShipped,Mark as shipped,تحديد كمشحون,
