key,en,ar,notes
home.sections.newsletter.title,Join the loyalty program,انضم إلى برنامج الولاء,ADR-045 flat refresh — AR proposed
home.sections.newsletter.body,Exclusive offers and free shipping on your first order.,عروض حصرية وشحن مجاني على أول طلب.,ADR-045 flat refresh — AR proposed
home.sections.newsletter.placeholder,your@email.com,your@email.com,email placeholder same in both locales
home.sections.newsletter.emailLabel,Email address,البريد الإلكتروني,ADR-045 flat refresh — sr-only newsletter label — AR proposed
home.sections.newsletter.subscribe,Subscribe,اشترك,ADR-045 flat refresh — AR proposed
home.sections.newsletter.privacy,We'll never share your email.,لن نشارك بريدك مع أي طرف ثالث.,ADR-045 flat refresh — AR proposed
home.sections.newsletter.success.title,Thanks for subscribing,شكرًا على اشتراكك,ADR-045 flat refresh — newsletter stub success — AR proposed
home.sections.newsletter.success.body,Check your inbox for a welcome note.,تفقّد بريدك لرسالة الترحيب.,ADR-045 flat refresh — newsletter stub success — AR proposed
home.banners.largeEyebrow,Exclusive offer,عرض حصري,ADR-045 flat refresh — AR proposed
home.banners.largeTitle,Save up to 30% on surveillance kits,وفّر حتى 30٪ على حلول المراقبة,ADR-045 flat refresh — AR proposed
home.banners.largeBody,"Complete camera kits with NVR and PoE switches, ready to install.",أطقم كاميرات كاملة مع NVR ومحولات PoE جاهزة للتركيب.,ADR-045 flat refresh — AR proposed
home.banners.largeCta,Shop deals,تسوق العروض,ADR-045 flat refresh — AR proposed
home.banners.smallEyebrow,Free shipping,شحن مجاني,ADR-045 flat refresh — AR proposed
home.banners.smallTitle,"On all orders over EGP 1,500","لجميع الطلبات فوق 1,500 ج.م",ADR-045 flat refresh — AR proposed
home.banners.smallBody,Door-to-door delivery across Egypt in 48 hours.,خدمة توصيل سريعة إلى باب منزلك خلال 48 ساعة.,ADR-045 flat refresh — AR proposed
home.banners.smallCta,Learn more,اعرف المزيد,ADR-045 flat refresh — AR proposed
home.why.delivery.title,Fast delivery,توصيل سريع,ADR-045 flat refresh — AR proposed
home.why.delivery.body,Ships within 48 hours across every Egyptian governorate.,شحن خلال 48 ساعة لكل محافظات مصر.,ADR-045 flat refresh — AR proposed
home.why.authentic.title,100% authentic,منتجات أصلية 100٪,ADR-045 flat refresh — AR proposed
home.why.authentic.body,Manufacturer-backed warranty on every single product.,ضمان الشركة المصنّعة على كل منتج.,ADR-045 flat refresh — AR proposed
home.why.support.title,Real technical support,دعم فني حقيقي,ADR-045 flat refresh — AR proposed
home.why.support.body,"Bilingual technical team on-call, before and after you buy.",فريق تقني ثنائي اللغة يساعدك قبل وبعد الشراء.,ADR-045 flat refresh — AR proposed
home.why.payment.title,Flexible payment,دفع مرن,ADR-045 flat refresh — AR proposed
home.why.payment.body,"Cash on delivery, card, or installments via valU.",نقدًا عند الاستلام، بطاقة، أو قسّط عبر فاليو.,ADR-045 flat refresh — AR proposed
footer.paymentsLabel,Payment methods accepted,طرق الدفع المقبولة,ADR-045 flat refresh — aria-label — AR proposed
footer.socials.facebook,Facebook,فيسبوك,ADR-045 flat refresh — aria-label — AR proposed
footer.socials.instagram,Instagram,إنستغرام,ADR-045 flat refresh — aria-label — AR proposed
footer.socials.twitter,X (Twitter),X (تويتر),ADR-045 flat refresh — aria-label — AR proposed
footer.socials.youtube,YouTube,يوتيوب,ADR-045 flat refresh — aria-label — AR proposed
footer.socials.whatsapp,WhatsApp,واتساب,ADR-045 flat refresh — aria-label — AR proposed
footer.payments.visa,VISA,VISA,brand name constant
footer.payments.mastercard,MASTERCARD,MASTERCARD,brand name constant
footer.payments.meeza,MEEZA,MEEZA,brand name constant
footer.payments.valu,VALU,VALU,brand name constant
footer.payments.cod,COD,كاش,ADR-045 flat refresh — AR uses the local term — AR proposed
nav.searchLabel,Search,بحث,ADR-045 flat refresh — sr-only header search label — AR proposed
nav.searchPlaceholder,"Search products, brands, categories…",ابحث عن منتجات، علامات، فئات…,ADR-045 flat refresh — header search placeholder — AR proposed
nav.searchSubmit,Search,بحث,ADR-045 flat refresh — AR proposed
nav.search,Search,البحث,ADR-045 flat refresh — menu label — AR proposed
nav.theme,Theme,المظهر,ADR-045 flat refresh — menu label — AR proposed
products.filters.minPlaceholder,Min,من,ADR-045 flat refresh — filter price input — AR proposed
products.filters.maxPlaceholder,Max,إلى,ADR-045 flat refresh — filter price input — AR proposed
products.filters.rating,Rating,التقييم,ADR-045 flat refresh — filter heading — AR proposed
products.filters.ratingAndUp,& up,فأكثر,ADR-045 flat refresh — filter label — AR proposed
products.filters.availability,Availability,التوفر,ADR-045 flat refresh — filter heading — AR proposed
products.filters.inStock,In stock,متوفر الآن,ADR-045 flat refresh — filter label — AR proposed
products.filters.searchChipLabel,Searching:,يبحث عن:,ADR-045 flat refresh — filter chip label — AR proposed
products.filters.clearSearch,Clear search,مسح البحث,ADR-045 flat refresh — aria-label — AR proposed
products.detail.save,Save {percent}%,وفّر {percent}٪,ADR-045 flat refresh — PDP save chip — AR proposed
products.detail.inclVat,Incl. VAT,شامل الضريبة,ADR-045 flat refresh — PDP price row — AR proposed
products.detail.inStockShipsIn,In stock — Ships within 48 hours,متوفر — يُشحن خلال 48 ساعة,ADR-045 flat refresh — PDP stock line — AR proposed
products.detail.qtyDecrease,Decrease quantity,إنقاص الكمية,ADR-045 flat refresh — aria-label — AR proposed
products.detail.qtyIncrease,Increase quantity,زيادة الكمية,ADR-045 flat refresh — aria-label — AR proposed
products.listing.loadMore,Load more,عرض المزيد,ADR-045 flat refresh — AR proposed
products.listing.loading,Loading…,جارٍ التحميل…,ADR-045 flat refresh — AR proposed
products.listing.loadMoreEnd,You've seen everything.,شفت كل اللي عندنا.,ADR-045 flat refresh — AR proposed
products.listing.loadMoreError,Couldn't load more products. Please try again.,تعذّر تحميل المزيد. حاول مرة أخرى.,ADR-045 flat refresh — AR proposed
products.toolbar.sortBy,Sort by,ترتيب حسب,ADR-045 flat refresh — catalog toolbar — AR proposed
products.toolbar.density,View,طريقة العرض,ADR-045 flat refresh — catalog toolbar — AR proposed
products.toolbar.view,View,عرض,ADR-045 flat refresh — catalog toolbar — AR proposed
products.toolbar.densityCols,{count} columns,{count} أعمدة,ADR-045 flat refresh — catalog toolbar — AR proposed
products.toolbar.showing,Showing {shown},يظهر {shown},ADR-045 flat refresh — catalog toolbar — AR proposed
products.toolbar.showingOf,Showing {shown} of {total},يظهر {shown} من {total},ADR-045 flat refresh — catalog toolbar — AR proposed
products.toolbar.close,Close,إغلاق,ADR-045 flat refresh — catalog toolbar — AR proposed
products.toolbar.sort.newest,Newest,الأحدث,ADR-045 flat refresh — catalog toolbar — AR proposed
products.toolbar.sort.price-asc,Price: low to high,السعر: من الأقل للأعلى,ADR-045 flat refresh — catalog toolbar — AR proposed
products.toolbar.sort.price-desc,Price: high to low,السعر: من الأعلى للأقل,ADR-045 flat refresh — catalog toolbar — AR proposed
products.toolbar.sort.title,Name (A–Z),الاسم (أ–ي),ADR-045 flat refresh — catalog toolbar — AR proposed
products.filtersAndViewAria,Filters and view controls,التصفية وطرق العرض,ADR-045 flat refresh — aria-label — AR proposed
wishlist.viewFullPage,Open full wishlist,فتح صفحة المفضلة كاملة,ADR-045 flat refresh — popover footer CTA — AR proposed
compare.viewFullPage,Open full compare,فتح صفحة المقارنة كاملة,ADR-045 flat refresh — popover footer CTA — AR proposed
products.toolbar.viewMode,Layout,طريقة العرض,ADR-045 flat refresh — catalog toolbar view toggle — AR proposed
products.toolbar.viewModes.grid,Grid,شبكة,ADR-045 flat refresh — catalog toolbar view mode — AR proposed
products.toolbar.viewModes.list,List,قائمة,ADR-045 flat refresh — catalog toolbar view mode — AR proposed
products.filters.apply,Apply filters,تطبيق الفلتر,ADR-045 flat refresh — filter commit button — AR proposed
products.toolbar.applyView,Apply view,تطبيق العرض,ADR-045 flat refresh — mobile view tab commit button — AR proposed
products.detail.trustGrid.delivery.title,48h delivery,توصيل خلال 48 ساعة,ADR-045 flat refresh — PDP trust — AR proposed
products.detail.trustGrid.delivery.body,Across every governorate,إلى كل المحافظات,ADR-045 flat refresh — PDP trust — AR proposed
products.detail.trustGrid.warranty.title,2-year warranty,ضمان سنتين,ADR-045 flat refresh — PDP trust — AR proposed
products.detail.trustGrid.warranty.body,Manufacturer-backed,من الشركة المصنّعة,ADR-045 flat refresh — PDP trust — AR proposed
products.detail.trustGrid.returns.title,14-day returns,إرجاع 14 يومًا,ADR-045 flat refresh — PDP trust — AR proposed
products.detail.trustGrid.returns.body,No questions asked,بدون أسئلة,ADR-045 flat refresh — PDP trust — AR proposed
products.detail.trustGrid.cod.title,Cash on delivery,دفع عند الاستلام,ADR-045 flat refresh — PDP trust — AR proposed
products.detail.trustGrid.cod.body,or pay by card,أو بالبطاقة,ADR-045 flat refresh — PDP trust — AR proposed
